Results,Entity,Line,Column,CheckID,Check Name,Ignored,Note
    "Basic numerical type ""char"" used in ""char [2][25]""","buttonPorts","61","9","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""int"" used","i","71","13","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""int"" used","i","76","13","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""char"" used in ""char *""","filename","34","26","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""char"" used in ""char *""","port","34","42","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""char"" used in ""char *""","greenPort","36","39","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""char"" used in ""char *""","yellowPort","36","56","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""char"" used in ""char *""","redPort","36","74","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""char"" used in ""char [3][25]""","trafficLight1Ports","44","30","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""char"" used in ""char [3][25]""","trafficLight2Ports","45","30","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""char"" used in ""char [3][25]""","trafficLightPorts","39","28","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""char"" used in ""char *""","filename","31","27","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""char"" used in ""char *""","port","31","43","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""char"" used in ""char *""","value","31","55","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Object or function thread1, has external linkage but no visible declaration","thread1","47","10","MISRA12_8.4","8.4 A compatible declaration shall be visible when an object or function with external linkage is defined","",""
    "Object or function thread2, has external linkage but no visible declaration","thread2","47","19","MISRA12_8.4","8.4 A compatible declaration shall be visible when an object or function with external linkage is defined","",""
    "Object or function thread3, has external linkage but no visible declaration","thread3","47","28","MISRA12_8.4","8.4 A compatible declaration shall be visible when an object or function with external linkage is defined","",""
    "Object or function thread4, has external linkage but no visible declaration","thread4","47","37","MISRA12_8.4","8.4 A compatible declaration shall be visible when an object or function with external linkage is defined","",""
    "Object or function timerMutex, has external linkage but no visible declaration","timerMutex","49","16","MISRA12_8.4","8.4 A compatible declaration shall be visible when an object or function with external linkage is defined","",""
    "Object or function startTime, has external linkage but no visible declaration","startTime","50","7","MISRA12_8.4","8.4 A compatible declaration shall be visible when an object or function with external linkage is defined","",""
    "Object or function endTime, has external linkage but no visible declaration","endTime","51","7","MISRA12_8.4","8.4 A compatible declaration shall be visible when an object or function with external linkage is defined","",""
    "Object or function batonMutex, has external linkage but no visible declaration","batonMutex","54","16","MISRA12_8.4","8.4 A compatible declaration shall be visible when an object or function with external linkage is defined","",""
    "Object or function baton, has external linkage but no visible declaration","baton","55","4","MISRA12_8.4","8.4 A compatible declaration shall be visible when an object or function with external linkage is defined","",""
    "Function or object has external linkage but is only used in the translation unit built from trafficLightsMultiThread.c","trafficLightCycle","39","5","MISRA12_8.7","8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit","",""
    "Function or object has external linkage but is only used in the translation unit built from trafficLightsMultiThread.c","getButtonPressDuration","42","5","MISRA12_8.7","8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit","",""
    "Function or object has external linkage but is only used in the translation unit built from trafficLightsMultiThread.c","trafficLight1Thread","44","5","MISRA12_8.7","8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit","",""
    "Function or object has external linkage but is only used in the translation unit built from trafficLightsMultiThread.c","trafficLight2Thread","45","5","MISRA12_8.7","8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit","",""
    "Function or object has external linkage but is only used in the translation unit built from trafficLightsMultiThread.c","thread1","47","10","MISRA12_8.7","8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit","",""
    "Function or object has external linkage but is only used in the translation unit built from trafficLightsMultiThread.c","thread2","47","19","MISRA12_8.7","8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit","",""
    "Function or object has external linkage but is only used in the translation unit built from trafficLightsMultiThread.c","thread3","47","28","MISRA12_8.7","8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit","",""
    "Function or object has external linkage but is only used in the translation unit built from trafficLightsMultiThread.c","thread4","47","37","MISRA12_8.7","8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit","",""
    "Function or object has external linkage but is only used in the translation unit built from trafficLightsMultiThread.c","timerMutex","49","16","MISRA12_8.7","8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit","",""
    "Function or object has external linkage but is only used in the translation unit built from trafficLightsMultiThread.c","startTime","50","7","MISRA12_8.7","8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit","",""
    "Function or object has external linkage but is only used in the translation unit built from trafficLightsMultiThread.c","endTime","51","7","MISRA12_8.7","8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit","",""
    "Function or object has external linkage but is only used in the translation unit built from trafficLightsMultiThread.c","batonMutex","54","16","MISRA12_8.7","8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit","",""
    "Function or object has external linkage but is only used in the translation unit built from trafficLightsMultiThread.c","baton","55","4","MISRA12_8.7","8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit","",""
    "thread1 is only used in a single function and should be defined at block scope.","thread1","47","10","MISRA12_8.9","8.9 An object should be defined at block scope if its identifier only appears in a single function","",""
    "thread2 is only used in a single function and should be defined at block scope.","thread2","47","19","MISRA12_8.9","8.9 An object should be defined at block scope if its identifier only appears in a single function","",""
    "thread3 is only used in a single function and should be defined at block scope.","thread3","47","28","MISRA12_8.9","8.9 An object should be defined at block scope if its identifier only appears in a single function","",""
    "thread4 is only used in a single function and should be defined at block scope.","thread4","47","37","MISRA12_8.9","8.9 An object should be defined at block scope if its identifier only appears in a single function","",""
    "trafficLightsMultiThread.c 83 93","pthread_mutex_init","85","4","MISRA12_17.7","17.7 The value returned by a function having non-void return type shall be used","",""
    "trafficLightsMultiThread.c 85 41","pthread_mutex_init","86","4","MISRA12_17.7","17.7 The value returned by a function having non-void return type shall be used","",""
    "trafficLightsMultiThread.c 94 91","pthread_create","95","4","MISRA12_17.7","17.7 The value returned by a function having non-void return type shall be used","",""
    "trafficLightsMultiThread.c 95 91","pthread_create","96","4","MISRA12_17.7","17.7 The value returned by a function having non-void return type shall be used","",""
    "trafficLightsMultiThread.c 96 85","pthread_create","97","4","MISRA12_17.7","17.7 The value returned by a function having non-void return type shall be used","",""
    "trafficLightsMultiThread.c 100 31","pthread_join","101","4","MISRA12_17.7","17.7 The value returned by a function having non-void return type shall be used","",""
    "Basic numerical type ""char"" used in ""char [3][25]""","trafficLight1Ports","106","30","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""int"" used","initialStateFlag","107","8","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "trafficLightsMultiThread.c 112 49","pthread_mutex_lock","113","12","MISRA12_17.7","17.7 The value returned by a function having non-void return type shall be used","",""
    "trafficLightsMultiThread.c 114 21","pthread_mutex_unlock","115","12","MISRA12_17.7","17.7 The value returned by a function having non-void return type shall be used","",""
    "Basic numerical type ""char"" used in ""char [3][25]""","trafficLight2Ports","127","30","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""int"" used","initialStateFlag","128","8","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "trafficLightsMultiThread.c 140 49","pthread_mutex_lock","141","12","MISRA12_17.7","17.7 The value returned by a function having non-void return type shall be used","",""
    "trafficLightsMultiThread.c 142 21","pthread_mutex_unlock","143","12","MISRA12_17.7","17.7 The value returned by a function having non-void return type shall be used","",""
    "Declaration or Definition of trafficLightCycle is not compatible with another declaration or definition in file trafficLightsMultiThread.c on line 39","trafficLightCycle","148","5","MISRA12_8.3","8.3 All declarations of an object or function shall use the same names and type qualifiers","",""
    "Basic numerical type ""char"" used in ""char [3][25]""","trafficLightPorts","148","28","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "trafficLightsMultiThread.c 148 54","pthread_mutex_lock","149","4","MISRA12_17.7","17.7 The value returned by a function having non-void return type shall be used","",""
    "trafficLightsMultiThread.c 150 26","pthread_mutex_unlock","151","4","MISRA12_17.7","17.7 The value returned by a function having non-void return type shall be used","",""
    "trafficLightsMultiThread.c 160 13","pthread_mutex_lock","161","8","MISRA12_17.7","17.7 The value returned by a function having non-void return type shall be used","",""
    "trafficLightsMultiThread.c 163 44","pthread_mutex_unlock","164","8","MISRA12_17.7","17.7 The value returned by a function having non-void return type shall be used","",""
    "trafficLightsMultiThread.c 179 28","pthread_mutex_lock","180","8","MISRA12_17.7","17.7 The value returned by a function having non-void return type shall be used","",""
    "Identifier declared in an inner scope hides an identifier declared in an outer scope","runTime","181","15","MISRA12_5.3","5.3 An identifier declared in an inner scope shall not hide an identifier declared in an outer scope","",""
    "trafficLightsMultiThread.c 181 44","pthread_mutex_unlock","182","8","MISRA12_17.7","17.7 The value returned by a function having non-void return type shall be used","",""
    "Identifier is typographically ambiguous to endTime","end_time","199","11","MISRA12_4.5","4.5 Identifiers in the same name space with overlapping visibility should be typographically unambiguous","",""
    "Basic numerical type ""int"" used","pressedFlag","200","8","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""int"" used","signalSentFlag","201","8","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""int"" used","gpioValue","202","8","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "trafficLightsMultiThread.c 217 70","pthread_mutex_lock","218","32","MISRA12_17.7","17.7 The value returned by a function having non-void return type shall be used","",""
    "trafficLightsMultiThread.c 223 32","pthread_mutex_unlock","224","32","MISRA12_17.7","17.7 The value returned by a function having non-void return type shall be used","",""
    "trafficLightsMultiThread.c 230 70","pthread_mutex_lock","231","32","MISRA12_17.7","17.7 The value returned by a function having non-void return type shall be used","",""
    "trafficLightsMultiThread.c 236 32","pthread_mutex_unlock","237","32","MISRA12_17.7","17.7 The value returned by a function having non-void return type shall be used","",""
    "Basic numerical type ""char"" used in ""char *""","greenPort","256","39","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""char"" used in ""char *""","yellowPort","256","56","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""char"" used in ""char *""","redPort","256","74","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""int"" used","readGPIO","268","11","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""char"" used in ""char *""","filename","268","26","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""char"" used in ""char *""","port","268","42","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""char"" used in ""char [100]""","fullFileName","270","9","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""int"" used","val","271","8","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Non distinct external identifier __builtin___sprintf_chk conflicts with entity __builtin_object_size in file trafficLightsMultiThread.c","__builtin___sprintf_chk","272","11","MISRA12_5.1","5.1 External identifiers shall be distinct","",""
    "Reserved Identifier, Macro, or Function declared in file trafficLightsMultiThread.c","__builtin___sprintf_chk","272","11","MISRA12_21.2","21.2 A reserved identifier or macro name shall not be declared","",""
    "Reserved Identifier, Macro, or Function declared in file trafficLightsMultiThread.c","__builtin_object_size","272","11","MISRA12_21.2","21.2 A reserved identifier or macro name shall not be declared","",""
    "Basic numerical type ""int"" used","__builtin___sprintf_chk","272","11","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""unsigned"" used in ""unsigned long""","__builtin_object_size","272","11","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "stdio.h input/output function fscanf used in file trafficLightsMultiThread.c","fscanf","274","11","MISRA12_21.6","21.6 The Standard Library input/output functions shall not be used","",""
    "trafficLightsMultiThread.c 274 33","fclose","275","4","MISRA12_17.7","17.7 The value returned by a function having non-void return type shall be used","",""
    "Basic numerical type ""char"" used in ""char *""","filename","279","27","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""char"" used in ""char *""","port","279","43","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""char"" used in ""char *""","value","279","55","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""char"" used in ""char [100]""","fullFileName","281","13","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""

